Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
1969	60	dinsertion	fwdrev	forward	single	870	870	0.00
1970	20	swap	forward	interleave	single	39	38	0.03
1971	20	insertion	interleave	forward	single	90	90	0.00
1972	20	selection	forward	reverse	single	190	190	0.00
1973	40	swap	revfwd	fwdrev	rightleft	126	122	0.03
1974	120	swap	fwdrev	revfwd	rightleft	560	582	0.04
1975	120	random	reverse	forward	zipper	6960	6960	0.00
1976	60	insertion	forward	interleave	single	870	870	0.00
1977	60	insertion	interleave	revfwd	single	870	870	0.00
1978	30	insertion	revfwd	forward	single	225	225	0.00
1979	30	swap	forward	reverse	single	95	89	0.07
1980	30	merge	reverse	forward	single	29	29	0.00
1981	30	insertion	forward	revfwd	single	225	225	0.00
1982	30	selection	revfwd	fwdrev	single	225	225	0.00
1983	30	random	fwdrev	forward	single	210	210	0.00
1984	30	swap	forward	reverse	single	95	81	0.16
1985	10	swap	reverse	random	single	14	25	0.56
1986	10	quick	random	interleave	single	12	14	0.15
1987	10	insertion	interleave	reverse	single	25	25	0.00
1988	10	evenodd	reverse	fwdrev	single	9	9	0.00
1989	10	insertion	fwdrev	revfwd	single	25	25	0.00
1990	10	insertion	revfwd	interleave	single	20	21	0.05
1991	10	triple	interleave	random	single	5	8	0.46
1992	10	selection	random	revfwd	single	16	20	0.22
1993	10	insertion	revfwd	interleave	single	20	21	0.05
1994	10	merge	interleave	fwdrev	single	9	11	0.20
1995	20	evenodd	fwdrev	reverse	zipper	19	19	0.00
1996	20	dinsertion	reverse	revfwd	zipper	80	80	0.00
1997	10	triple	revfwd	random	single	5	6	0.18
1998	10	quick	random	revfwd	single	12	13	0.08
1999	5	triple	revfwd	reverse	single	3	2	0.40
2000	5	dinsertion	reverse	forward	single	10	8	0.22
2001	15	swap	forward	random	single	25	21	0.17
2002	15	dinsertion	random	interleave	single	49	43	0.13
2003	15	random	interleave	random	single	46	50	0.08
2004	15	quick	random	forward	single	19	20	0.05
2005	15	swap	forward	reverse	single	35	39	0.11
2006	5	selection	reverse	fwdrev	single	6	6	0.00
2007	10	evenodd	fwdrev	revfwd	single	9	9	0.00
2008	20	quick	revfwd	reverse	zipper	17	15	0.12
2009	20	triple	reverse	revfwd	zipper	13	13	0.00
2010	20	triple	revfwd	reverse	zipper	13	13	0.00
2011	60	evenodd	reverse	revfwd	zipper	58	58	0.00
2012	60	selection	revfwd	fwdrev	zipper	840	840	0.00
2013	60	random	fwdrev	revfwd	zipper	840	840	0.00
2014	60	evenodd	revfwd	forward	zipper	59	59	0.00
2015	120	dinsertion	forward	fwdrev	zipper	3480	3480	0.00
2016	120	insertion	fwdrev	forward	zipper	3480	3480	0.00
2017	360	merge	forward	revfwd	zipper	180	182	0.01
2018	360	swap	revfwd	fwdrev	zipper	1977	2019	0.02
2019	180	merge	fwdrev	revfwd	single	90	90	0.00
2020	360	insertion	revfwd	reverse	zipper	32040	32040	0.00
2021	120	evenodd	reverse	revfwd	zipper	118	118	0.00
2022	60	merge	revfwd	reverse	zipper	58	58	0.00
2023	60	random	reverse	revfwd	zipper	840	840	0.00
2024	60	random	revfwd	fwdrev	zipper	840	840	0.00
2025	180	random	fwdrev	reverse	zipper	7920	7920	0.00
2026	360	evenodd	reverse	forward	zipper	360	360	0.00
2027	120	insertion	forward	reverse	zipper	6960	6960	0.00
2028	120	evenodd	reverse	fwdrev	zipper	119	119	0.00
2029	40	merge	fwdrev	forward	zipper	38	38	0.00
2030	20	triple	forward	revfwd	single	14	14	0.00
2031	60	merge	revfwd	forward	single	59	59	0.00
2032	30	dinsertion	forward	revfwd	single	225	225	0.00
2033	30	random	revfwd	fwdrev	single	225	225	0.00
2034	60	triple	fwdrev	revfwd	zipper	59	59	0.00
2035	120	selection	revfwd	reverse	zipper	3480	3480	0.00
2036	120	triple	reverse	forward	zipper	120	120	0.00
2037	60	dinsertion	forward	reverse	zipper	1680	1680	0.00
2038	60	quick	reverse	fwdrev	zipper	93	88	0.06
2039	60	insertion	fwdrev	reverse	zipper	840	840	0.00
2040	20	evenodd	reverse	forward	zipper	20	20	0.00
2041	40	quick	forward	reverse	zipper	38	39	0.03
2042	40	insertion	reverse	fwdrev	zipper	360	360	0.00
2043	40	insertion	fwdrev	revfwd	zipper	360	360	0.00
2044	20	merge	revfwd	fwdrev	zipper	10	10	0.00
2045	20	swap	fwdrev	revfwd	zipper	34	37	0.08
2046	20	random	revfwd	fwdrev	zipper	80	80	0.00
2047	60	merge	fwdrev	reverse	zipper	59	59	0.00
2048	60	insertion	reverse	fwdrev	zipper	840	840	0.00
2049	60	selection	fwdrev	forward	zipper	840	840	0.00
2050	60	dinsertion	forward	fwdrev	zipper	840	840	0.00
2051	120	evenodd	fwdrev	forward	zipper	118	118	0.00
2052	60	dinsertion	forward	interleave	single	870	870	0.00
2053	60	random	interleave	forward	single	870	870	0.00
2054	60	triple	forward	revfwd	single	40	40	0.00
2055	180	triple	revfwd	reverse	single	117	120	0.03
2056	180	merge	reverse	interleave	single	180	179	0.01
2057	180	swap	interleave	random	single	693	964	0.33
2058	180	dinsertion	random	forward	single	8036	8354	0.04
2059	90	merge	forward	fwdrev	single	91	92	0.01
2060	180	evenodd	fwdrev	random	single	141	167	0.17
2061	180	quick	random	forward	single	388	403	0.04
2062	360	selection	forward	reverse	zipper	64080	64080	0.00
2063	180	selection	reverse	fwdrev	zipper	7920	7920	0.00
2064	60	quick	fwdrev	revfwd	zipper	70	69	0.01
2065	30	triple	revfwd	interleave	single	18	19	0.05
2066	30	selection	interleave	revfwd	single	210	211	0.00
2067	15	random	revfwd	fwdrev	single	56	49	0.13
2068	30	insertion	fwdrev	forward	single	210	210	0.00
2069	30	triple	forward	fwdrev	single	20	20	0.00
2070	30	random	fwdrev	reverse	single	225	225	0.00
2071	30	random	reverse	fwdrev	single	225	225	0.00
2072	30	random	fwdrev	forward	single	210	210	0.00
2073	30	selection	forward	fwdrev	single	210	210	0.00
2074	30	dinsertion	fwdrev	reverse	single	225	225	0.00
2075	30	evenodd	reverse	fwdrev	single	29	29	0.00
2076	30	swap	fwdrev	interleave	single	80	92	0.14
2077	30	merge	interleave	forward	single	29	29	0.00
2078	60	selection	fwdrev	revfwd	rightleft	870	870	0.00
2079	120	dinsertion	revfwd	fwdrev	rightleft	3540	3540	0.00
2080	60	merge	forward	fwdrev	single	60	59	0.02
2081	60	random	fwdrev	revfwd	single	900	900	0.00
2082	30	swap	revfwd	reverse	single	74	76	0.03
2083	60	dinsertion	revfwd	fwdrev	rightleft	870	870	0.00
2084	30	swap	fwdrev	revfwd	rightleft	82	85	0.04
2085	10	swap	revfwd	fwdrev	rightleft	14	15	0.07
2086	20	triple	fwdrev	revfwd	rightleft	19	19	0.00
2087	10	random	reverse	fwdrev	single	25	25	0.00
2088	20	triple	fwdrev	reverse	single	15	14	0.07
2089	40	random	reverse	random	single	386	343	0.12
2090	40	merge	random	fwdrev	single	46	47	0.02
2091	40	merge	fwdrev	reverse	single	39	39	0.00
2092	40	evenodd	reverse	random	single	34	36	0.06
2093	40	random	random	interleave	single	376	359	0.05
2094	40	evenodd	interleave	forward	single	38	38	0.00
2095	40	swap	forward	random	single	118	115	0.03
2096	40	merge	random	interleave	single	48	49	0.02
2097	40	triple	interleave	random	single	22	21	0.05
2098	40	evenodd	random	revfwd	single	34	39	0.14
2099	40	merge	revfwd	fwdrev	single	20	20	0.00
2100	120	merge	fwdrev	interleave	single	119	118	0.01
2101	120	insertion	interleave	fwdrev	single	3540	3540	0.00
2102	60	random	fwdrev	random	single	856	932	0.09
2103	60	evenodd	random	reverse	single	49	58	0.17
2104	60	merge	reverse	interleave	single	59	59	0.00
2105	60	selection	interleave	forward	single	870	870	0.00
2106	60	insertion	forward	revfwd	single	900	900	0.00
2107	120	selection	revfwd	forward	zipper	3480	3480	0.00
2108	120	selection	forward	revfwd	zipper	3480	3480	0.00
2109	60	selection	revfwd	fwdrev	zipper	840	840	0.00
2110	60	quick	fwdrev	reverse	zipper	80	76	0.05
2111	60	selection	reverse	fwdrev	zipper	840	840	0.00
2112	20	quick	fwdrev	revfwd	zipper	21	19	0.10
2113	20	evenodd	revfwd	reverse	zipper	18	18	0.00
2114	60	dinsertion	reverse	fwdrev	zipper	840	840	0.00
2115	60	quick	fwdrev	reverse	zipper	80	76	0.05
2116	60	random	reverse	forward	zipper	1680	1680	0.00
2117	20	selection	forward	fwdrev	zipper	80	80	0.00
2118	20	quick	fwdrev	forward	zipper	17	15	0.12
2119	20	quick	fwdrev	revfwd	rightleft	24	23	0.04
2120	20	quick	revfwd	fwdrev	rightleft	24	23	0.04
2121	10	selection	fwdrev	revfwd	rightleft	20	20	0.00
2122	20	swap	revfwd	fwdrev	rightleft	46	49	0.06
2123	20	selection	fwdrev	revfwd	rightleft	90	90	0.00
2124	20	swap	reverse	forward	zipper	31	32	0.03
2125	20	insertion	forward	reverse	zipper	160	160	0.00
2126	20	evenodd	reverse	revfwd	zipper	18	18	0.00
2127	20	triple	revfwd	reverse	zipper	13	13	0.00
2128	20	selection	reverse	forward	zipper	160	160	0.00
2129	10	quick	forward	interleave	single	9	10	0.11
2130	10	evenodd	interleave	reverse	single	9	9	0.00
2131	10	selection	reverse	fwdrev	single	25	25	0.00
2132	10	selection	fwdrev	revfwd	single	25	25	0.00
2133	30	merge	revfwd	interleave	single	27	28	0.04
2134	30	dinsertion	interleave	revfwd	single	210	211	0.00
2135	10	triple	revfwd	fwdrev	single	9	9	0.00
2136	10	merge	fwdrev	forward	single	8	8	0.00
2137	10	random	forward	random	single	18	27	0.40
2138	10	selection	random	revfwd	single	16	24	0.40
2139	5	merge	revfwd	reverse	single	3	3	0.00
2140	10	triple	reverse	fwdrev	single	7	7	0.00
2141	10	quick	fwdrev	revfwd	single	14	13	0.07
2142	10	quick	revfwd	reverse	single	9	10	0.11
2143	20	triple	reverse	interleave	single	13	13	0.00
2144	20	dinsertion	interleave	forward	single	90	90	0.00
2145	40	random	forward	revfwd	zipper	360	360	0.00
2146	40	quick	revfwd	reverse	zipper	41	42	0.02
2147	40	selection	reverse	revfwd	zipper	360	360	0.00
2148	80	insertion	revfwd	fwdrev	zipper	1520	1520	0.00
2149	80	swap	fwdrev	reverse	zipper	220	206	0.07
2150	80	quick	reverse	forward	zipper	78	76	0.03
2151	240	swap	forward	fwdrev	zipper	1139	1132	0.01
2152	240	random	fwdrev	reverse	zipper	14160	14160	0.00
2153	240	evenodd	reverse	revfwd	zipper	238	238	0.00
2154	240	selection	revfwd	fwdrev	zipper	14160	14160	0.00
2155	240	quick	fwdrev	reverse	zipper	401	420	0.05
2156	120	triple	reverse	forward	single	117	120	0.03
2157	120	selection	forward	reverse	single	7140	7140	0.00
2158	240	random	reverse	fwdrev	zipper	14160	14160	0.00
2159	80	merge	fwdrev	reverse	zipper	79	79	0.00
2160	40	dinsertion	reverse	forward	zipper	720	720	0.00
2161	120	quick	forward	revfwd	zipper	209	216	0.03
2162	40	random	revfwd	forward	zipper	360	360	0.00
2163	20	dinsertion	forward	interleave	single	90	90	0.00
2164	20	dinsertion	interleave	revfwd	single	90	90	0.00
2165	20	merge	revfwd	forward	single	19	19	0.00
2166	40	insertion	forward	revfwd	single	400	400	0.00
2167	40	merge	revfwd	reverse	single	38	38	0.00
2168	40	insertion	reverse	interleave	single	400	400	0.00
2169	40	triple	interleave	random	single	22	24	0.09
2170	40	swap	random	reverse	single	121	131	0.08
2171	40	insertion	reverse	interleave	single	400	400	0.00
2172	40	random	interleave	fwdrev	single	380	380	0.00
2173	40	insertion	fwdrev	interleave	single	380	380	0.00
2174	40	evenodd	interleave	random	single	33	39	0.17
2175	40	random	random	fwdrev	single	352	377	0.07
2176	20	triple	fwdrev	reverse	single	15	14	0.07
2177	20	quick	reverse	revfwd	single	27	26	0.04
2178	20	merge	revfwd	reverse	single	18	18	0.00
2179	10	selection	reverse	forward	single	45	45	0.00
2180	20	selection	forward	revfwd	zipper	80	80	0.00
2181	20	random	revfwd	fwdrev	zipper	80	80	0.00
2182	20	triple	fwdrev	forward	zipper	13	13	0.00
2183	20	triple	fwdrev	revfwd	rightleft	19	19	0.00
2184	20	selection	revfwd	fwdrev	rightleft	90	90	0.00
2185	20	dinsertion	fwdrev	revfwd	rightleft	90	90	0.00
2186	10	swap	revfwd	fwdrev	rightleft	14	14	0.00
2187	5	quick	forward	revfwd	single	5	4	0.22
2188	5	swap	revfwd	forward	single	5	6	0.18
2189	10	merge	forward	fwdrev	single	8	10	0.22
2190	20	quick	fwdrev	interleave	single	28	26	0.07
2191	20	swap	interleave	random	single	41	50	0.20
2192	20	quick	random	interleave	single	28	32	0.13
2193	20	dinsertion	interleave	reverse	single	100	100	0.00
2194	20	random	reverse	interleave	single	100	100	0.00
2195	20	swap	interleave	fwdrev	single	40	44	0.10
2196	40	merge	fwdrev	reverse	zipper	39	39	0.00
2197	80	selection	reverse	fwdrev	zipper	1520	1520	0.00
2198	80	insertion	fwdrev	revfwd	zipper	1520	1520	0.00
2199	40	swap	revfwd	fwdrev	zipper	108	107	0.01
2200	20	selection	fwdrev	revfwd	single	100	100	0.00
2201	20	quick	revfwd	interleave	single	28	28	0.00
2202	20	quick	interleave	forward	single	27	26	0.04
2203	10	merge	forward	fwdrev	single	8	10	0.22
2204	10	evenodd	fwdrev	interleave	single	7	7	0.00
2205	10	merge	interleave	forward	single	8	10	0.22
2206	10	random	forward	random	single	18	8	0.77
2207	10	insertion	random	revfwd	single	21	23	0.09
2208	20	triple	revfwd	forward	zipper	14	14	0.00
2209	20	selection	forward	revfwd	zipper	80	80	0.00
2210	20	triple	revfwd	reverse	zipper	13	13	0.00
2211	20	triple	reverse	fwdrev	zipper	13	14	0.07
2212	20	selection	fwdrev	revfwd	zipper	80	80	0.00
2213	20	insertion	revfwd	reverse	zipper	80	80	0.00
2214	40	merge	reverse	revfwd	zipper	40	40	0.00
2215	80	evenodd	revfwd	fwdrev	zipper	79	79	0.00
2216	240	swap	fwdrev	reverse	zipper	999	976	0.02
2217	240	dinsertion	reverse	forward	zipper	28320	28320	0.00
2218	240	selection	fwdrev	revfwd	rightleft	14280	14280	0.00
2219	80	merge	revfwd	fwdrev	rightleft	40	40	0.00
2220	40	evenodd	fwdrev	revfwd	rightleft	39	39	0.00
2221	80	evenodd	revfwd	fwdrev	rightleft	79	79	0.00
2222	240	merge	fwdrev	revfwd	rightleft	120	120	0.00
2223	720	triple	revfwd	fwdrev	rightleft	719	719	0.00
2224	720	dinsertion	fwdrev	revfwd	rightleft	129240	129240	0.00
2225	720	insertion	revfwd	fwdrev	rightleft	129240	129240	0.00
2226	720	selection	fwdrev	revfwd	rightleft	129240	129240	0.00
2227	720	selection	revfwd	fwdrev	rightleft	129240	129240	0.00
2228	720	dinsertion	forward	fwdrev	zipper	128880	128880	0.00
2229	720	triple	fwdrev	forward	zipper	521	480	0.08
2230	240	evenodd	forward	reverse	zipper	240	240	0.00
2231	720	dinsertion	reverse	forward	zipper	257760	257760	0.00
2232	360	random	forward	fwdrev	zipper	32040	32040	0.00
2233	120	selection	fwdrev	reverse	zipper	3480	3480	0.00
2234	40	random	reverse	forward	zipper	720	720	0.00
2235	20	swap	forward	interleave	single	39	40	0.03
2236	20	random	interleave	reverse	single	100	100	0.00
2237	20	insertion	reverse	fwdrev	single	100	100	0.00
2238	10	quick	fwdrev	reverse	single	13	13	0.00
2239	20	quick	revfwd	fwdrev	rightleft	24	23	0.04
2240	60	selection	fwdrev	revfwd	rightleft	870	870	0.00
2241	120	evenodd	revfwd	fwdrev	rightleft	119	119	0.00
2242	120	random	fwdrev	revfwd	rightleft	3540	3540	0.00
2243	360	evenodd	revfwd	fwdrev	rightleft	359	359	0.00
2244	360	selection	forward	reverse	zipper	64080	64080	0.00
2245	360	selection	reverse	revfwd	zipper	32040	32040	0.00
2246	360	triple	revfwd	forward	zipper	241	241	0.00
2247	360	evenodd	fwdrev	revfwd	rightleft	359	359	0.00
2248	360	merge	revfwd	fwdrev	rightleft	180	180	0.00
2249	360	evenodd	fwdrev	revfwd	rightleft	359	359	0.00
2250	720	merge	revfwd	fwdrev	rightleft	360	360	0.00
2251	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
2252	360	dinsertion	revfwd	fwdrev	rightleft	32220	32220	0.00
2253	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
2254	720	selection	revfwd	fwdrev	rightleft	129240	129240	0.00
2255	720	random	fwdrev	revfwd	rightleft	129240	129240	0.00
2256	360	evenodd	revfwd	fwdrev	rightleft	359	359	0.00
2257	180	swap	forward	revfwd	single	876	804	0.09
2258	360	swap	revfwd	fwdrev	single	2781	2228	0.22
2259	360	random	fwdrev	revfwd	single	32400	32400	0.00
2260	360	swap	revfwd	fwdrev	single	2781	2266	0.20
2261	360	dinsertion	fwdrev	forward	single	32220	32220	0.00
2262	720	selection	fwdrev	revfwd	rightleft	129240	129240	0.00
2263	720	insertion	reverse	forward	zipper	257760	257760	0.00
2264	360	triple	forward	revfwd	zipper	239	240	0.00
2265	360	swap	revfwd	forward	zipper	1719	1735	0.01
2266	360	selection	forward	revfwd	zipper	32040	32040	0.00
2267	720	quick	revfwd	forward	zipper	1421	1393	0.02
2268	360	quick	forward	fwdrev	zipper	800	791	0.01
2269	360	random	fwdrev	forward	zipper	32040	32040	0.00
2270	360	swap	forward	reverse	zipper	1906	1962	0.03
2271	360	dinsertion	reverse	forward	zipper	64080	64080	0.00
2272	360	triple	forward	fwdrev	zipper	240	240	0.00
2273	120	swap	fwdrev	revfwd	zipper	524	473	0.10
2274	120	merge	revfwd	reverse	zipper	118	118	0.00
2275	120	selection	reverse	forward	zipper	6960	6960	0.00
2276	360	merge	forward	reverse	zipper	359	359	0.00
2277	120	random	reverse	fwdrev	zipper	3480	3480	0.00
2278	60	quick	fwdrev	interleave	single	107	102	0.05
2279	60	merge	interleave	reverse	single	60	59	0.02
2280	60	evenodd	reverse	random	single	51	55	0.08
2281	60	quick	random	fwdrev	single	105	101	0.04
2282	60	selection	fwdrev	interleave	single	870	870	0.00
2283	60	selection	interleave	fwdrev	single	870	870	0.00
2284	180	evenodd	fwdrev	random	single	141	177	0.23
2285	180	random	random	fwdrev	single	8061	7500	0.07
2286	180	quick	fwdrev	revfwd	single	346	328	0.05
2287	60	quick	revfwd	reverse	single	97	102	0.05
2288	60	selection	reverse	fwdrev	single	900	900	0.00
2289	30	random	fwdrev	random	single	205	206	0.00
2290	30	swap	random	fwdrev	single	76	74	0.03
2291	60	merge	fwdrev	revfwd	single	30	30	0.00
2292	60	insertion	revfwd	interleave	single	870	870	0.00
2293	60	random	interleave	random	single	858	911	0.06
2294	60	swap	random	reverse	single	213	203	0.05
2295	120	merge	reverse	fwdrev	single	60	61	0.02
2296	120	random	fwdrev	interleave	single	3540	3540	0.00
2297	120	merge	interleave	fwdrev	single	124	123	0.01
2298	120	insertion	fwdrev	reverse	single	3600	3600	0.00
2299	40	random	reverse	random	single	386	354	0.09
2300	40	triple	random	forward	single	22	25	0.13
2301	20	quick	forward	fwdrev	single	27	26	0.04
2302	20	evenodd	fwdrev	random	single	16	17	0.06
2303	20	swap	random	reverse	single	42	43	0.02
2304	20	swap	reverse	revfwd	single	40	32	0.22
2305	20	evenodd	revfwd	fwdrev	single	19	19	0.00
2306	20	random	fwdrev	random	single	87	97	0.11
2307	20	random	random	fwdrev	single	75	97	0.26
2308	20	dinsertion	fwdrev	forward	single	90	90	0.00
2309	10	evenodd	forward	random	single	6	9	0.40
2310	10	swap	random	interleave	single	12	15	0.22
2311	10	evenodd	interleave	forward	single	8	8	0.00
2312	10	quick	forward	reverse	single	13	13	0.00
2313	20	selection	revfwd	fwdrev	rightleft	90	90	0.00
2314	20	triple	forward	fwdrev	zipper	13	13	0.00
2315	10	evenodd	fwdrev	reverse	single	9	9	0.00
2316	10	insertion	reverse	revfwd	single	20	20	0.00
2317	10	dinsertion	revfwd	forward	single	25	25	0.00
2318	10	triple	forward	fwdrev	single	6	6	0.00
2319	10	dinsertion	fwdrev	forward	single	20	20	0.00
2320	10	quick	forward	reverse	single	13	13	0.00
2321	10	merge	reverse	revfwd	single	8	10	0.22
2322	30	swap	revfwd	fwdrev	single	85	95	0.11
2323	60	selection	fwdrev	reverse	single	900	900	0.00
2324	60	random	reverse	forward	single	1770	1770	0.00
2325	60	quick	forward	reverse	single	88	88	0.00
2326	120	dinsertion	reverse	forward	single	7140	7140	0.00
2327	120	insertion	forward	reverse	single	7140	7140	0.00
2328	360	insertion	reverse	interleave	single	32400	32400	0.00
2329	360	selection	interleave	reverse	single	32400	32400	0.00
2330	720	quick	revfwd	fwdrev	rightleft	1066	971	0.09
2331	240	triple	fwdrev	revfwd	rightleft	239	239	0.00
2332	240	swap	revfwd	fwdrev	rightleft	1373	1330	0.03
2333	240	random	fwdrev	revfwd	rightleft	14280	14280	0.00
2334	240	quick	reverse	forward	zipper	238	239	0.00
2335	240	evenodd	forward	reverse	zipper	240	240	0.00
2336	80	dinsertion	reverse	fwdrev	zipper	1520	1520	0.00
2337	80	selection	fwdrev	forward	zipper	1520	1520	0.00
2338	80	insertion	fwdrev	revfwd	rightleft	1560	1560	0.00
2339	80	random	reverse	fwdrev	zipper	1520	1520	0.00
2340	80	merge	fwdrev	reverse	zipper	79	79	0.00
2341	80	triple	reverse	revfwd	zipper	53	53	0.00
2342	40	quick	revfwd	reverse	zipper	41	42	0.02
2343	20	random	reverse	revfwd	zipper	80	80	0.00
2344	20	quick	revfwd	reverse	zipper	17	15	0.12
2345	20	triple	reverse	forward	zipper	20	19	0.05
2346	20	random	forward	fwdrev	zipper	80	80	0.00
2347	10	swap	fwdrev	revfwd	single	15	19	0.24
2348	10	selection	revfwd	forward	single	25	25	0.00
2349	20	merge	forward	fwdrev	zipper	19	20	0.05
2350	40	swap	fwdrev	reverse	zipper	76	77	0.01
2351	80	triple	reverse	forward	zipper	80	80	0.00
2352	240	quick	forward	reverse	zipper	238	239	0.00
2353	720	selection	reverse	revfwd	zipper	128880	128880	0.00
2354	720	insertion	revfwd	fwdrev	zipper	128880	128880	0.00
2355	360	evenodd	fwdrev	reverse	zipper	359	359	0.00
2356	360	random	reverse	fwdrev	zipper	32040	32040	0.00
2357	720	selection	fwdrev	revfwd	zipper	128880	128880	0.00
2358	720	selection	revfwd	fwdrev	zipper	128880	128880	0.00
2359	240	swap	fwdrev	reverse	zipper	999	1044	0.04
2360	240	swap	reverse	forward	zipper	1166	1192	0.02
2361	80	swap	forward	revfwd	zipper	254	294	0.15
2362	80	insertion	revfwd	fwdrev	zipper	1520	1520	0.00
2363	80	merge	fwdrev	reverse	zipper	79	79	0.00
2364	240	evenodd	reverse	revfwd	zipper	238	238	0.00
2365	720	selection	revfwd	fwdrev	zipper	128880	128880	0.00
2366	240	merge	fwdrev	forward	zipper	238	238	0.00
2367	240	merge	forward	fwdrev	zipper	237	239	0.01
2368	120	swap	fwdrev	forward	zipper	381	403	0.06
2369	60	selection	forward	fwdrev	zipper	840	840	0.00
2370	60	quick	fwdrev	revfwd	zipper	70	69	0.01
2371	120	triple	revfwd	forward	zipper	81	81	0.00
2372	120	dinsertion	forward	reverse	zipper	6960	6960	0.00
2373	120	swap	reverse	forward	zipper	492	443	0.10
2374	60	random	forward	fwdrev	zipper	840	840	0.00
2375	180	evenodd	fwdrev	forward	zipper	178	178	0.00
2376	180	swap	fwdrev	revfwd	rightleft	946	946	0.00
2377	180	dinsertion	revfwd	fwdrev	rightleft	8010	8010	0.00
2378	180	random	fwdrev	revfwd	rightleft	8010	8010	0.00
2379	180	quick	revfwd	fwdrev	rightleft	248	239	0.04
2380	180	dinsertion	fwdrev	revfwd	rightleft	8010	8010	0.00
2381	180	insertion	revfwd	fwdrev	rightleft	8010	8010	0.00
2382	180	evenodd	fwdrev	revfwd	rightleft	179	179	0.00
2383	60	quick	revfwd	fwdrev	rightleft	81	85	0.05
2384	60	triple	fwdrev	revfwd	rightleft	59	59	0.00
2385	60	selection	revfwd	fwdrev	rightleft	870	870	0.00
2386	60	evenodd	fwdrev	revfwd	rightleft	59	59	0.00
2387	60	merge	revfwd	fwdrev	rightleft	30	30	0.00
2388	30	quick	fwdrev	revfwd	rightleft	39	41	0.05
2389	30	triple	revfwd	fwdrev	rightleft	29	29	0.00
2390	60	merge	fwdrev	revfwd	rightleft	30	30	0.00
2391	120	random	revfwd	fwdrev	rightleft	3540	3540	0.00
2392	120	random	fwdrev	revfwd	rightleft	3540	3540	0.00
2393	60	triple	reverse	forward	single	59	59	0.00
2394	120	selection	forward	interleave	single	3540	3540	0.00
2395	120	evenodd	interleave	fwdrev	single	120	117	0.03
2396	120	swap	fwdrev	revfwd	single	559	606	0.08
2397	240	quick	revfwd	reverse	zipper	360	382	0.06
2398	720	random	reverse	fwdrev	zipper	128880	128880	0.00
2399	360	swap	fwdrev	reverse	single	2065	1962	0.05
2400	120	merge	reverse	revfwd	single	122	119	0.02
2401	40	random	revfwd	reverse	single	380	380	0.00
2402	20	insertion	reverse	interleave	single	100	100	0.00
2403	20	insertion	interleave	revfwd	single	90	90	0.00
2404	20	swap	revfwd	interleave	single	41	46	0.11
2405	20	selection	interleave	reverse	single	100	100	0.00
2406	40	triple	reverse	revfwd	zipper	26	26	0.00
2407	40	dinsertion	revfwd	reverse	zipper	360	360	0.00
2408	40	insertion	reverse	revfwd	zipper	360	360	0.00
2409	40	quick	revfwd	forward	zipper	48	45	0.06
2410	40	swap	forward	reverse	zipper	99	91	0.08
2411	20	random	reverse	revfwd	single	90	90	0.00
2412	10	random	revfwd	fwdrev	single	25	25	0.00
2413	20	dinsertion	fwdrev	revfwd	zipper	80	80	0.00
2414	60	evenodd	revfwd	fwdrev	zipper	59	59	0.00
2415	60	swap	fwdrev	forward	zipper	140	125	0.11
2416	30	insertion	forward	reverse	single	435	435	0.00
2417	30	dinsertion	reverse	fwdrev	single	225	225	0.00
2418	60	triple	fwdrev	interleave	single	37	36	0.03
2419	60	selection	interleave	revfwd	single	870	870	0.00
2420	60	insertion	revfwd	reverse	single	870	870	0.00
2421	20	merge	reverse	forward	single	19	19	0.00
2422	10	selection	forward	fwdrev	single	20	20	0.00
2423	20	swap	fwdrev	forward	single	39	42	0.07
2424	20	merge	forward	interleave	single	18	18	0.00
2425	20	swap	interleave	forward	single	39	38	0.03
2426	20	triple	forward	revfwd	single	14	14	0.00
2427	20	evenodd	revfwd	reverse	single	18	18	0.00
2428	40	random	reverse	interleave	single	400	400	0.00
2429	40	merge	interleave	revfwd	single	41	42	0.02
2430	40	evenodd	revfwd	forward	single	39	39	0.00
2431	120	evenodd	forward	reverse	single	120	120	0.00
2432	40	merge	reverse	revfwd	single	40	40	0.00
2433	40	selection	revfwd	reverse	single	380	380	0.00
2434	40	merge	reverse	fwdrev	single	21	21	0.00
2435	80	merge	fwdrev	forward	zipper	78	78	0.00
2436	80	merge	forward	revfwd	zipper	41	41	0.00
2437	240	merge	revfwd	reverse	zipper	238	238	0.00
2438	240	quick	reverse	forward	zipper	238	239	0.00
2439	240	swap	forward	reverse	zipper	1161	1153	0.01
2440	240	dinsertion	revfwd	fwdrev	rightleft	14280	14280	0.00
2441	240	selection	fwdrev	revfwd	rightleft	14280	14280	0.00
2442	720	triple	revfwd	fwdrev	rightleft	719	719	0.00
2443	720	insertion	fwdrev	revfwd	rightleft	129240	129240	0.00
2444	240	random	revfwd	fwdrev	rightleft	14280	14280	0.00
2445	240	random	forward	revfwd	zipper	14160	14160	0.00
2446	240	swap	revfwd	forward	zipper	1000	999	0.00
2447	240	random	fwdrev	revfwd	rightleft	14280	14280	0.00
2448	120	triple	revfwd	fwdrev	rightleft	119	119	0.00
2449	120	merge	fwdrev	revfwd	rightleft	60	60	0.00
