Phase	Elements	method	oldorder	neworder	rowmode	esteps	asteps	err
30856	40	triple	fwdrev	revfwd	zipper	39	39	0.00
30857	20	triple	revfwd	fwdrev	single	19	19	0.00
30858	10	evenodd	fwdrev	reverse	single	9	9	0.00
30859	20	random	reverse	forward	zipper	160	160	0.00
30860	40	random	forward	reverse	zipper	720	720	0.00
30861	40	triple	reverse	revfwd	zipper	26	26	0.00
30862	120	merge	revfwd	fwdrev	zipper	60	60	0.00
30863	120	random	fwdrev	revfwd	zipper	3480	3480	0.00
30864	40	selection	revfwd	reverse	zipper	360	360	0.00
30865	80	dinsertion	reverse	forward	zipper	3040	3040	0.00
30866	80	dinsertion	forward	revfwd	zipper	1520	1520	0.00
30867	80	evenodd	revfwd	forward	zipper	79	79	0.00
30868	80	merge	forward	revfwd	zipper	41	41	0.00
30869	40	triple	revfwd	reverse	zipper	27	27	0.00
30870	20	swap	reverse	interleave	single	43	48	0.11
30871	20	random	interleave	fwdrev	single	90	90	0.00
30872	60	random	fwdrev	random	single	856	813	0.05
30873	60	merge	random	forward	single	77	74	0.04
30874	60	insertion	forward	interleave	single	870	870	0.00
30875	60	swap	interleave	reverse	single	192	196	0.02
30876	60	swap	reverse	revfwd	single	199	202	0.01
30877	60	dinsertion	revfwd	forward	single	900	900	0.00
30878	60	insertion	forward	interleave	single	870	870	0.00
30879	60	selection	interleave	reverse	single	900	900	0.00
30880	60	dinsertion	reverse	interleave	single	900	900	0.00
30881	60	quick	interleave	reverse	single	107	112	0.05
30882	120	merge	revfwd	fwdrev	rightleft	60	60	0.00
30883	60	quick	forward	interleave	single	97	102	0.05
30884	60	random	interleave	reverse	single	900	900	0.00
30885	120	insertion	reverse	forward	zipper	6960	6960	0.00
30886	40	evenodd	forward	reverse	zipper	40	40	0.00
30887	20	insertion	reverse	interleave	single	100	100	0.00
30888	20	insertion	interleave	reverse	single	100	100	0.00
30889	20	quick	reverse	forward	single	28	28	0.00
30890	20	triple	forward	reverse	single	20	19	0.05
30891	40	selection	reverse	forward	single	780	780	0.00
30892	120	selection	forward	fwdrev	single	3540	3540	0.00
30893	120	selection	fwdrev	forward	single	3540	3540	0.00
30894	120	triple	forward	interleave	single	78	80	0.03
30895	120	evenodd	interleave	forward	single	118	118	0.00
30896	240	swap	forward	fwdrev	zipper	1139	1171	0.03
30897	720	quick	fwdrev	revfwd	zipper	855	862	0.01
30898	240	quick	revfwd	fwdrev	zipper	287	302	0.05
30899	720	insertion	fwdrev	revfwd	zipper	128880	128880	0.00
30900	720	swap	revfwd	fwdrev	zipper	3989	4755	0.18
30901	720	selection	fwdrev	revfwd	zipper	128880	128880	0.00
30902	720	random	revfwd	fwdrev	zipper	128880	128880	0.00
30903	720	insertion	fwdrev	revfwd	zipper	128880	128880	0.00
30904	360	quick	revfwd	interleave	single	833	832	0.00
30905	360	swap	interleave	fwdrev	single	970	2088	0.73
30906	120	dinsertion	fwdrev	interleave	single	3540	3540	0.00
30907	120	evenodd	interleave	random	single	109	114	0.04
30908	120	triple	random	revfwd	single	68	61	0.11
30909	60	selection	revfwd	fwdrev	single	900	900	0.00
30910	60	evenodd	fwdrev	reverse	single	59	59	0.00
30911	60	insertion	reverse	fwdrev	single	900	900	0.00
30912	120	dinsertion	fwdrev	reverse	single	3600	3600	0.00
30913	120	insertion	reverse	forward	single	7140	7140	0.00
30914	120	dinsertion	forward	interleave	single	3540	3540	0.00
30915	120	swap	interleave	reverse	single	508	526	0.03
30916	120	selection	reverse	forward	single	7140	7140	0.00
30917	120	selection	forward	revfwd	single	3600	3600	0.00
30918	360	random	revfwd	forward	single	32400	32400	0.00
30919	360	random	forward	interleave	single	32220	32220	0.00
30920	360	dinsertion	interleave	revfwd	single	32220	32220	0.00
30921	120	swap	revfwd	forward	single	502	546	0.08
30922	240	insertion	forward	reverse	zipper	28320	28320	0.00
30923	80	evenodd	reverse	forward	zipper	80	80	0.00
30924	80	evenodd	forward	fwdrev	zipper	78	78	0.00
30925	80	quick	fwdrev	reverse	zipper	112	107	0.05
30926	40	random	reverse	revfwd	zipper	360	360	0.00
30927	40	evenodd	revfwd	reverse	zipper	38	38	0.00
30928	80	swap	reverse	forward	zipper	283	289	0.02
30929	80	quick	forward	revfwd	zipper	130	131	0.01
30930	80	insertion	revfwd	reverse	zipper	1520	1520	0.00
30931	40	evenodd	reverse	forward	single	40	40	0.00
30932	40	insertion	forward	fwdrev	single	380	380	0.00
30933	120	merge	fwdrev	reverse	single	120	119	0.01
30934	120	quick	reverse	interleave	single	212	228	0.07
30935	120	triple	interleave	random	single	68	74	0.08
30936	120	evenodd	random	reverse	single	110	119	0.08
30937	120	evenodd	reverse	interleave	single	119	119	0.00
30938	120	random	interleave	revfwd	single	3540	3540	0.00
30939	120	triple	revfwd	random	single	64	58	0.10
30940	120	dinsertion	random	revfwd	single	3556	3345	0.06
30941	360	selection	revfwd	interleave	single	32220	32220	0.00
30942	360	triple	interleave	reverse	single	224	240	0.07
30943	360	insertion	reverse	forward	single	64620	64620	0.00
30944	720	dinsertion	fwdrev	revfwd	rightleft	129240	129240	0.00
30945	360	evenodd	reverse	random	single	398	347	0.14
30946	360	merge	random	forward	single	256	475	0.60
30947	360	dinsertion	forward	reverse	single	64620	64620	0.00
30948	180	selection	reverse	forward	single	16110	16110	0.00
30949	180	quick	forward	reverse	single	268	268	0.00
