Method	Old	New	Count	Trend	Avg	Err
random	fwdrev	revfwd	70	Quadratic	0.24	0.11
random	fwdrev	interleave	7	Quadratic	0.24	0.02
random	forward	revfwd	34	Quadratic	0.24	0.11
random	revfwd	forward	13	Quadratic	0.24	0.11
random	revfwd	fwdrev	81	Quadratic	0.24	0.11
random	fwdrev	reverse	32	Quadratic	0.24	0.11
random	random	forward	6	Quadratic	0.25	0.13
random	fwdrev	random	11	Quadratic	0.25	0.19
random	interleave	random	11	Quadratic	0.25	0.22
random	reverse	interleave	4	Quadratic	0.25	0.01
random	interleave	reverse	12	Quadratic	0.25	0.01
random	reverse	random	2	Quadratic	0.25	0.07
random	forward	random	14	Quadratic	0.25	0.56
random	random	reverse	5	Quadratic	0.25	0.10
random	forward	reverse	21	Quadratic	0.48	0.09
random	reverse	forward	23	Quadratic	0.48	0.09
selection	random	revfwd	3	Quadratic	0.22	0.36
selection	reverse	revfwd	31	Quadratic	0.24	0.08
selection	fwdrev	interleave	6	Quadratic	0.24	0.04
selection	interleave	forward	14	Quadratic	0.24	0.07
selection	revfwd	reverse	22	Quadratic	0.24	0.08
selection	revfwd	interleave	7	Quadratic	0.24	0.07
selection	fwdrev	forward	34	Quadratic	0.24	0.08
selection	forward	fwdrev	24	Quadratic	0.24	0.08
selection	forward	interleave	11	Quadratic	0.24	0.07
selection	interleave	fwdrev	5	Quadratic	0.24	0.02
selection	interleave	revfwd	7	Quadratic	0.24	0.07
selection	reverse	fwdrev	33	Quadratic	0.24	0.11
selection	fwdrev	reverse	27	Quadratic	0.24	0.10
selection	revfwd	fwdrev	68	Quadratic	0.24	0.11
selection	revfwd	forward	18	Quadratic	0.24	0.11
selection	forward	revfwd	23	Quadratic	0.24	0.10
selection	fwdrev	revfwd	83	Quadratic	0.24	0.11
selection	random	interleave	5	Quadratic	0.25	0.24
selection	random	reverse	3	Quadratic	0.25	0.06
selection	interleave	reverse	19	Quadratic	0.25	0.01
selection	reverse	interleave	9	Quadratic	0.25	0.01
selection	random	forward	9	Quadratic	0.26	0.27
selection	forward	reverse	29	Quadratic	0.47	0.09
selection	reverse	forward	29	Quadratic	0.48	0.09
selection	random	fwdrev	1	Unknown	8.88	0.00
swap	fwdrev	reverse	20	NlogN	0.46	0.72
swap	revfwd	reverse	31	NlogN	0.47	0.66
